"ShortNameKey","FullName","Category","Unit","TemporalCoverage","LastUpdate","ContactPerson","Email","License","OpenAccess","Source","Citation","DOI","Indicator evaluation performed","Description","Motivation","ConceptualUnderstanding","ScientificConsensus","QuantitativeDimension","Precision","Bias","Updating","SpaceTimeCoverage","LevelOfIntegration","Cost","History","Simplicity","Transparency","DataType","Sensitivity","Specificity","LagAndLeadTime","ManagementRelevance","ManagementUse","ReferencePoint","PriorKnowledge","Clarity","Reaction","ATACCategory","Transformation"
"Year","Year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"NAO3","NAO (Dec-Mar) UCAR - EOF","Climate","unitless","1907-present","2025","Øystein skagseth, IMR","oystein.skagseth@hi.no","No usage restriction","Yes","Changed to Hurrell pc based index https://climatedataguide.ucar.edu/sites/default/files/2024-04/nao_pc_djfm.txt","NAO Index Data provided by the Climate Analysis Section, NCAR, Boulder, USA, Hurrell (2003). Updated regularly. Accessed DD Month YYYY [list date you accessed the data].","https://climatedataguide.ucar.edu/climate-data/hurrell-north-atlantic-oscillation-nao-index-pc-based","Yes","NAO PC based index (DJFM), indicator of large-scale atmospheric circulation patterns over the North Atlantic region, and more specifically the strengths of the jet-stream/westerlies.","The westerlies and the jet-stream is of fundamental importance to weather and the marine climate in the Northeast Atlantic, including the Nordic Seas. This involves the strength and the path of winter storms.","The NAO index is a fundamental metric of weather patterns, ocean circulation, and marine ecosystem variability across the North Atlantic and Norwegian Sea. It reflects wind patterns, heat transport, precipitation, sea surface temperatures, and consequently affects primary productivity, species distributions, and fisheries. Essential for ecosystem status summary as it provides context for understanding climate-driven ecosystem changes and supports predictive capabilities in IEA frameworks. The indicator-indicandum relationship is generally stable but can exhibit non-stationarity on multidecadal timescales (e.g. when the explanatory power of NAO decreased in the mid-1990s). Positive NAO phases indicate stronger-than-normal pressure gradients, leading to stronger westerlies, milder winters in northern Europe, increased storminess, and enhanced northward heat transport. Negative phases produce opposite effects with weaker westerlies and colder northern European conditions.","There is strong scientific foundation spanning over a century of research. The relationship between NAO and North Atlantic climate/ocean variability is well-documented through observational and modeling studies. The NAO is widely recognized as the dominant mode of atmospheric variability in the North Atlantic. It sused extensively across multiple ocean basins and climate systems, is recommended by international institutions and is a standard reference in IPCC assessments and ICES working group reports.","There are several ways that the NAO index is reported. The “PC based” NAO index used in WGINOR/IEA-NOR is the the winter averages i.e. average values for the months December-January-February-March, derived in a principal component analysis performed by NCAR (National Center for Atmospheric Research in Boulder, Colorado, USA)/UCAR (University Corporation for Atmospheric Research). The NAO index quantifies the normalized pressure difference between the Icelandic Low and Azores High pressure systems, and is thus a quantitative standardized dimensionless index values. The PC-based NAO-index uses an Empirical Orthogonal Function (EOF / PCA) approach, which is a method used in reanalysis-based climate studies. The principal component (PC)-based indices of the North Atlantic Oscillation (NAO) are the time series of the leading Empirical Orthogonal Function (EOF) of SLP anomalies over the Atlantic sector, 20°-80°N, 90°W-40°E. These indices are used to measure the NAO throughout the year, tracking the seasonal movements of the Icelandic low and Azores high.","It has high precision and is in its essence based on well-calibrated meteorological data with long-term stability. Signal-to-noise ratio is high for monthly and seasonal averages. Daily values show higher variability than monthly/seasonal/annual means. The various calculation methods generally yield similar overall results.","As a PC-based index, it is not expected that there will be a bias.","The PC-based NAO-index for DJFM is usually available by May 1st every year.","Spatial: Basin-scale index representing North Atlantic atmospheric circulation (approximately 20-70°N, 90°W-40°E). Directly relevant to Norwegian Sea ecosystem scale. 
Temporal: Available from 1899 onwards.","The index represents the physical environment and atmospheric circulation system. It integrates across multiple spatial scales.","The cost is low for WGINOR. Data is freely available and requires minimal computational resources and basic statistical expertise. Funding security is excellent as based on operational meteorological networks with long-term governmental commitment.","PC-based estimates are available back to 1899.","The PC analysis is advanced, but is a accepted and used across research institutions.","Calculation methods well-documented and standardized. Multiple data providers offer complete methodological documentation. Historical versions and metadata well-maintained.","Data type: Climate models. Data resources: PC-based Hurrell NAO index is downloaded from climatedataguide.ucar.edu: https://climatedataguide.ucar.edu/climate-data/hurrell-north-atlantic-oscillation-nao-index-pc-based","There is high sensitivity to large-scale atmospheric circulation changes. The response is generally linear to pressure gradient changes but can show non-linear relationships during extreme phases. Variations directly reflect changes in the North Atlantic pressure dipole strength and position.","There is high specificity for North Atlantic atmospheric circulation patterns. Changes can be attributed specifically to shifts in the Icelandic Low/Azores High system. However, can be influenced by teleconnections from other climate modes (e.g., ENSO, QBO). Generally unambiguous interpretation for seasonal/annual scales.","There is immediate response to atmospheric changes (no lag). Limited predictive skill beyond ~2 weeks for specific values, but seasonal forecasting shows some skill. Cannot reliably anticipate future ecosystem changes alone but provides boundary conditions for ecosystem models. Seasonal forecasts are available from major meteorological centers. The indicandum is found to lead key oceanographic processes (e.g. the meridional position of the Gulf Stream) by 1-2 years.","NAO -index is used by management institutions. E.g. NAO is reported by ICES in working group reports and climate summaries and is a key indicator in various national climate monitoring programs.","NAO -index is primarily used for surveilling climate variability. It is not used in management or decision making.","Both NAO phases have different ecosystem implications. Positive NAO is generally associated with increased storm activity over North Atlantic and western Europe, enhanced precipitation and higher temperatures over Northern Europe and reduced precipitation and lower temperatures over Southern Europe. Negative NAO is associated with the opposite as beforementioned. It is not meaningful to define reference points or limits/targest.","The indicator is well known among marine scientists and meteorologists, but less known among managers and among the public. It is well-established in scientific literature across disciplines.","Moderate to high clarity for scientific audiences. Requires some explanation for non-specialists to understand implications. Index values (e.g., +1.5, -0.8) need contextualization. Uncertainties are minimal and easy to communicate.","Public/policy reactions may be limited due to abstract nature of index. Most effective when combined with impact-based communication showing ecosystem consequences.","Climate",FALSE
"SPGWinter","SPG Index (Winter)","Climate","unitless","1993-present","2024","Øystein skagseth, IMR","oystein.skagseth@hi.no","unknown",NA,NA,NA,NA,"Yes","Sub-polar Gyre Index is an indicator of the Sub-polar Gyre","The indicandum is the North Atlantic subpolar gyre. It affects pathways and strength of main ocean currents, hydrographic properties in the Atlantic inflows towards the Arctic, and is intrinsically linked to the Atlantic meridional overturning circulation (AMOC). The indicator reflects variations in the North Atlantic Ocean climate that affect marine ecosystems. It has been part of the Ecosystem Status Summary for many years and as such must be considered to contribute to the IEA.","The indicator has, since it became available around two decades ago, been closely linked to the indicandum (basic aspect of the marine climate in the subpolar North Atlantic). The evidence base for conceptual understanding is that the sea surface height (SSH) reflects both i) depth-integrated density (and thus water mass structure) and geostrophic surface currents (through lateral SSH gradients) over the entire North Atlantic. The variable admixture of nutrient and zooplankton rich subarctic water from the subpolar gyre into the northward flow of Atlantic water is of key importance for marine ecosystems. The relationship between the indicator and indicandum is considered to be stable over time.","The input SSH data of the indicator are based on ocean models and satellite observations, and as such, the methods for extraction of data differ somewhat. Even though there is a strong scientific consensus that the SPG index is a good ocean climate and ecosystem indicator, there are some ambiguities regarding the derivation of this index.","The indicator is calculated semi quantitatively (it is a principal component, from a statistical analysis called Empirical Orthogonal Functions (EOF)). The gyre index is in itself unitless, but can used to calculate explained SSH changes (in cm), if multiplied with an associated singular value and a spatial mode).","The current estimates of the indicator do not contain precision estimates.","The indicator is a relative number, and thus, bias should not be a problem.","Availability depends on which institute processes the data and when the altimetry data provider makes the sea surface height data available (a ~ half year time lag). WGINOR/IEA-NOR uses index processed at IMR","The temporal resolution of the indicator are monthly values, subsequently averaged over full years (Jan-Dec), or winters (Dec-January-February-March). The most used spatial scale is the subpolar Atlantic (30-65°N, 75-0°W), around 3-4 million km2.  The index described here is the winter average.","The indicator is primarily an indicator for whole ecosystems, food-webs and large-scale ocean climate. ","The indicator is produced annually by several research institutes, and using the indicator is free for WGINOR/IEA-NOR.","The observations-based gyre index can be calculated back to 1993, when the altimetry satellites were launched. From ocean models, however, it is possible to derive the indicator back to the mid-20th century. Initially, the gyre index emerged from the first EOF mode. With an increasing number of years included in the analysis, and updated altimetry data products, this mode split into two modes. The first mode now represents the general SSH increase in the North Atlantic, while the second mode contains the decadal-scale variability, that characterizes hydrographic and ecological variability in the northeastern Atlantic. The principal component from the second mode is now used as the gyre index. If the altimetry data are detrended before the analysis, this gyre mode emerges as the first mode. The gyre mode is a robust result from these EOF analyses. By including various spatial domains and time steps (monthly, winter averages, or full-year averages), researchers have, however, obtained slightly different versions of this index. To complement the SSH-based gyre index (e.g., to obtain longer records), researchers have also estimated indices based on other proxy data, such as winter sea surface temperature, density of deep mode waters, and model-based barotropic stream-functions.","It is relatively easy to download altimetry data and perform an EOF analysis. Care should, however, be taken with e.g. the selected spatial domain.","The index is not founded in TAF or FAIR frameworks. Web-pages providing the gyre index have, to our knowledge, not been updated. Researchers therefore tend to calculate their own version. The index used by WGINOR/IEA-NOR is derived at IMR.","Data type is Satellite/model. There is no link or DOI. The indicator is derived at IMR.","The indicator is a climate indicator and varies as such. It reflects changes in the indicandum, but not on a linear level. ","Changes in the indicator value can be attributed to changes in the indicandum and it is not likely that other factors than changes in the indicandum cause changes in the indicator. Considering the large area the indicator spans over, it is not possible to determine exactly what in the indicandum causes a specific change in the indicator.","The nature of the indicator is such that it demonstrates changes in the ocean climate as they happen. As such, it is in the lead as a predictor of ecosystem changes. Advective lag of hydrographic anomalies from the subpolar gyre-Atlantic water interface can introduce a potential for forecasting. The forecasting time horizon depends on the distance from the gyre. Climate models project marked changes to the subpolar gyre. It should, however, be mentioned that these models are rather uncertain in the gyre region.","As far as we are aware, the indicator is not used in management and is not requested by any management institutions.","The indicator is primarily used for surveillance. ","Does not apply to the Subpolar Gyre index.","The indicator is known to marine scientists, but is probably not many others, and certainly not to the broad audience. ","Since there is a great deal of data processing in the calculation of the indicator, the meaning of the indicator is not very clear to non-scientists.","n.a.","Climate",FALSE
"NLGyre","Norw-Lof Gyre Index","Climate","Nm-2","1949-present",NA,"Øystein skagseth, IMR","oystein.skagseth@hi.no","unknown",NA,NA,NA,NA,"yes","Norwegian Sea Gyre index is an indicator of the Norwegian Sea Gyre","The indicandum is the Norwegian Sea Gyre index representing the overall speed of the cyclonic circulation and Ekman pumping in the Norwegian – and Lofoten Basins. It has so far not played a central role in the Ecosystem Status Summary.","The indicator integrates the stress curl over the Norwegian and Lofoten Basin that for periods for weeks to months are linked to the gyre circulation.","There is established theory that links area integrated wind stress curl within a closed depth contour to the gyre circulation along the same contour.","The indicator is calculated from atmospheric wind stress data at the ocean surface. It would also be possible to calculate from satellite sea surface height data to have an independent measure.","The current estimates of the indicator do not contain precision estimates.","The indicator is a relative number, and thus, bias should not be a problem. It is possible to have absolute values if using satellite sea surface height data.","The indicator can be updated in near real time from wind stress data. In case using ssh there is a .5-1 year delay.","The temporal resolution of the indicator are monthly values. The spatial domain is the Norwegian and Lofoten basins. Polygon (lon E, lat N) [4 62;12 68;17 70;17 74;12.5 76; 8 76;8 73.5;-8 70;-8 63;-4 62;4 62];","The indicator is primarily an indicator for NS horizontal and vertical circulation.","The indicator can be produced from spati-temporal wind stress data.","The indicator relies on spatio-temporal wind (or wind stress) data. The accuracy of the indicator is likely better after the inclusion of satellite data in weather analysis about 1980.","It is relatively easy if you know how to do it.","The index is not founded in TAF or FAIR frameworks. Web-pages providing the gyre index have, to our knowledge, not been updated. Researchers therefor tend to calculate their own version.","The data type is reanalysis data based on atmospheric weather models.","The response can be assumed linear (but likely not).","Changes in the indicator can be attributed to changes in the indicandum.","Since the indicator is produced on monthly/annual data there is likely no lag.","As far as we are aware, the indicator is not used in management and is not requested by any management institutions. ","The indicator is primarily used for surveillance. ","Uncertain how changes in the indicandum reflects onto the ecosystem. There are no reference points.","n.a.","Since there is a great deal of data processing in the calculation of the indicator, the meaning of the indicator is not very clear to non-scientists. ","n.a.","Climate",FALSE
"SvinoyTemp","Svinoy Core Temperature","Climate","°C","1976-present",NA,"Kjell Arne","kjell.arne.mork@hi.no","unknown",NA,NA,NA,NA,"yes","The temperature at the Svinøy section represents the temperature of Atlantic Water flowing from the North Atlantic and into the Norwegian Sea.","Motivation: The Atlantic Water that flows through the Svinøy section influences the ocean heat distribution, sea ice extent, and ecosystem structure in the whole region. This is essential for ecosystem status assessment and for understanding climate-driven ecosystem. It also provides upstream forecasting possibilities.","The indicator is estimated by averaging the temperature at the Svinøy section between 50 and 200 m depth over three hydrographic stations at the shelf edge. Temperature changes reflect heat distribution, area of temperature intervals, buoyancy changes (stratification), and directly impact downstream ecosystems. The indicator is built on decades of observational studies and used regular in many status reports and publications. It is stable and well-quantified through regular cruises as part of the monitoring program at IMR.","There is strong scientific consensus on the importance of temperature in AW and is recommended as one of GOOS Essential Ocean Variables. The indicator is regular updated and used in the ICES Working Group of Oceanic Hydrography (WGOH) Ocean Climate report (IROC) and in IMR’s status reporting of the Norwegian Sea.","The indicator can be measured quantitatively from in-situ measurements.","The current indicator does not contain precision estimates, but the level of precision could be estimated.","The level of bias in the indicator is not estimated but could be estimated.","The indicator can be updated shortly (~days-weeks) after the measurements have been done.","The temporal resolution of the indicator is seasonal (~4 timers per year), but annual averages are normally reported. The indicator is averaged over 50-200 m depth using three hydrographic (CTD) stations at the shelf edge in the Svinøy section. It reflects the AW temperature inflow from the North Atlantic to the Norwegian Sea.","The indicator is primarily an indicator for the ecosystems and ocean climate. ","The indicator is produced annually (for annual averages) by IMR and is easily calculated. The indicator is free to use.","The indicator has been measured regular from 1978 using the same methodology.","The indicator is simple to produce when the data are available, and the method contains only averaging.","The indicator is published annual at the ICES-WGOH portal (IROC) where the data can be downloaded. It includes also a description of the indicator.","The data type of the indicator is in-situ (CTD-measurements). At the IROC web page, reference and contact person are given. The indicator is also published at IMR-web page (“Climate Status”) with contact person. There is no link to the data source used to provide the indicator, but the data source is also freely available.","The indicator is a climate indicator and is proportional with changes in the indicandum.","Changes in the indicator value can be attributed to changes in the indicandum and it is not likely that other factors than changes in the indicandum cause the changes in the indicator.","The nature of the indicator is such that it demonstrates changes in the ocean climate as they happen. Advective lag of hydrographic anomalies can introduce a potential for forecasting. Thus, the indicator can used to forecast upstream hydrographic changes in the northern part of the Norwegian Sea. The indicator itself can also be forecasted at a certain level based on the downstream hydrographic anomalies in the North Atlantic.","The indicator is reported by IMR to the State of the Environment Norway (Miljøstatus) and ICES-WGOH.","The indicator is primarily used for surveillance. ","Does not apply to this indicator.","The indicator is known to marine scientists but is probably not many others. ","The meaning of the indicator (warmer/colder) should be clear also to non-scientists.","n.a.","Climate",FALSE
"SvinoySal","Svinoy Core Salinity","Climate","psu","1976-present",NA,"Kjell Arne","kjell.arne.mork@hi.no","unknown",NA,NA,NA,NA,"yes","The salinity at the Svinøy section represents the salinity of Atlantic Water flowing from the North Atlantic and into the Norwegian Sea.","The Atlantic Water that flows through the Svinøy section influences the ocean freshwater distribution and stratification in the whole region. This is essential for ecosystem status assessment and for understanding climate-driven ecosystem. It also provides upstream forecasting possibilities.","The indicator is calculated by averaging the salinity at the Svinøy section between 50 and 200 m depth over three hydrographic stations at the shelf edge. Salinity changes reflect freshwater distribution and buoyancy changes (stratification). The indicator is built on decades of observational studies and used regular in many status reports and publications. It is stable and well-quantified through regular cruises as part of the monitoring program at IMR.","There is strong scientific consensus on the importance of salinity in AW and is recommended as one of GOOS Essential Ocean Variables. The indicator is regular updated and used in the ICES Working Group of Oceanic Hydrography (WGOH) Ocean Climate report (IROC) and in IMR’s status reporting of the Norwegian Sea.","The indicator can be measured quantitatively from in-situ measurements.","The current indicator does not contain precision estimates, but the level of precision could be estimated.","The level of bias in the indicator is not estimated but could be estimated.","The indicator can be updated shortly (~days-weeks) after the measurements have been done.","The temporal resolution of the indicator is seasonal (~4 timers per year), but annual averages are normally reported. The indicator is averaged over 50-200 m depth using three hydrographic (CTD) stations at the shelf edge in the Svinøy section. It reflects the AW salinity inflow from the North Atlantic to the Norwegian Sea.","The indicator is primarily an indicator for the ecosystems and ocean climate. ","The indicator is produced annually (for annual averages) by IMR and is easily calculated. The indicator is free to use.","The indicator has been measured regular from 1978 using the same methodology.","The indicator is simple to produce when the data are available, and the method contains only averaging.","The indicator is published annual at the ICES-WGOH portal (IROC) where the data can be downloaded. It includes also a description of the indicator.","The data type of the indicator is in-situ (CTD-measurements). At the IROC web page, reference and contact person are given. The indicator is also published at IMR-web page (“Climate Status”) with contact person. There is no link to the data source used to provide the indicator, but the data source is also freely available.","The indicator is a climate indicator and is proportional with changes in the indicandum.","Changes in the indicator value can be attributed to changes in the indicandum and it is not likely that other factors than changes in the indicandum cause the changes in the indicator.","The nature of the indicator is such that it demonstrates changes in the ocean climate as they happen. Advective lag of hydrographic anomalies can introduce a potential for forecasting. Thus, the indicator can used to forecast upstream hydrographic changes in the northern part of the Norwegian Sea. The indicator itself can also be forecasted at a certain level based on the downstream hydrographic anomalies in the North Atlantic.","The indicator is reported by IMR to the State of the Environment Norway (Miljøstatus) and ICES-WGOH.","The indicator is primarily used for surveillance. ","Does not apply to this indicator.","The indicator is known to marine scientists but is probably not many others. ","The meaning of the indicator (fresher/saltier) should be clear also to non-scientists.","n.a.","Climate",FALSE
"ArcticWaters","Arctic Water Content","Climate",NA,"1995-present",NA,"Øystein skagseth, IMR","oystein.skagseth@hi.no","unknown",NA,NA,NA,NA,"yes","The Arctic Water represents the amount of Arctic Water flowing from the Iceland and Greenland Sea into the southern Norwegian Sea (Norwegian Basin).","The Arctic Water transports fresher and colder water masses, which is of importance for stratification, and elevation of nutrients and abundance of large zooplankton into the region. This is essential for ecosystem status assessment and for understanding climate-driven ecosystem.","The indicator measures the volume of Arctic Water defined as salinity<34.90 in the depth range 150-300 m in the Norwegian Sea Basin. The indicator is built on decades of observational studies through regular cruises as part of the monitoring program at IMR and used in status reports. The relationship between the indicator and indicandum may however varies as the properties of Arctic Water and its depth range may change over time.","There is strong scientific consensus on the importance of Arctic Water. It is not one of the GOOS Essential Ocean Variables, but the salinity used in the definition is. The indicator is regular updated and used in IMR’s status reporting of the Norwegian Sea, and in the latest ICES Working Group of Oceanic Hydrography (WGOH) Ocean Climate report (IROC).","The indicator can be measured quantitatively from in-situ measurements.","The current indicator does not contain precision estimates, but the level of precision could be estimated.","The level of bias in the indicator is not estimated but could be estimated.","The indicator can be updated shortly (~days-weeks) after the measurements have been done.","The temporal resolution of the indicator is once per year (May). The indicator is calculated from gridded CTD-stations from several cruises during May. It measures the volume of water masses with salinity<34.90 in the depth range 150-300 m within the polygon of Longitude, Latitude (-4, 62; 4, 62; 12, 68; -8, 68; -8, 62; -4, 62) in the Norwegian Basin.","The indicator is primarily an indicator for the ecosystems and ocean climate.","The indicator is produced annually by IMR and is free to use.","The indicator has been measured regular from 1995 using the same methodology.","The indicator requires technical/complex computation as different data sources need to be merged and gridded before the indicator can be calculated. Routines to do this (nearly automatic) have been made.","The indicator will be published annual at the ICES-WGOH portal (IROC) where the data can be downloaded. It will also include a description of the indicator.","The data type of the indicator is in-situ measurements (CTD-sensor) from ships and Argo floats. At the IROC web page, reference and contact person will (soon) be given. The indicator is also published at IMR-web page (“Climate Status”) with contact person. There is no link to the data source used to provide the indicator, but the used data sources are also freely available.","The indicator is a climate indicator and is proportional with changes in the indicandum.","Changes in the indicator value can be attributed to changes in the indicandum and it is not likely that other factors than changes in the indicandum cause the changes in the indicator.","The nature of the indicator is such that it demonstrates changes in the ocean climate as they happen. The indicator may be forecasted since it mainly depends on advective hydrographic properties, but this will require information about the level of Arctic Water masses in the Iceland and Greenland Sea.","The indicator is reported by IMR to the ICES-WGOH.","The indicator is primarily used for surveillance. ","No, it does not apply to this indicator.","The indicator is known to marine scientists but is probably not many others. ","The meaning of the indicator (fresher/saltier) could also be clear to (some) non-scientists.","n.a.","Climate",FALSE
"RelativeHeatContent","Relative Heat Content","Climate",NA,"1951-present","2025","Kjell Arne","Kjell Arne","unknown",NA,NA,NA,NA,"yes","The heat content representing the heat content of the upper layer (covering the Atlantic layer) in the Norwegian Sea.","The heat content influences the ocean heat distribution and ecosystem structure in the whole region. This is essential for ecosystem status assessment and for understanding climate-driven ecosystem.","The indicator measures the annual average of heat content in the upper layer, from the surface to the base of the Atlantic layer, in the Norwegian Sea. Heat content changes reflect ocean warming, heat distribution and buoyancy changes (stratification), and impact ecosystems. The indicator is built on decades of observational studies and used regular in many status reports and publications. It is stable and well-quantified through regular cruises as part of the monitoring program at IMR.","There is strong scientific consensus on the importance of heat content and is e.g., used when reporting ocean climate changes. It is not one of the GOOS Essential Ocean Variables, but it depends on the sea temperature that is. The indicator is regular updated and used in the ICES Working Group of Oceanic Hydrography (WGOH) Ocean Climate report (IROC) and in IMR’s status reporting of the Norwegian Sea.","The indicator can be measured quantitatively from in-situ measurements.","The current indicator does not contain precision estimates, but the level of precision could be estimated.","The level of bias in the indicator is not estimated but could be estimated.","The indicator can be updated shortly (~days-weeks) after the measurements have been done.","The temporal resolution is once per year (May). The indicator is calculated over depths where density is below a density level in the Norwegian Sea using available CTD-data in May taken with ships and Argo floats. It reflects the heat content of the whole Norwegian Sea.","The indicator is primarily an indicator for the ecosystems and ocean climate.","The indicator is produced annually by IMR and requires some expertise for collecting and gridding all the available CTD-data before the indicator can be calculated. The indicator is free to use.","The indicator has been measured 1951 using the same methodology. The measurement types have, however, changed from water bottles the first 2-3 decades to CTD-sensors afterwards.","The indicator requires technical/complex computation as different data sources need to be merged and gridded before the indicator can be calculated. Routines to do this (nearly automatic) have been made.","The indicator is published annual at the ICES-WGOH portal (IROC) where the data can be downloaded. It includes also a description of the indicator.","The data type of the indicator is in-situ measurements (water bottles, CTD-sensor). At the IROC web page, reference and contact person are given. The indicator is also published at IMR-web page (“Climate Status”) with contact person. There is no link to the data source used to provide the indicator, but the data source is also freely available.","The indicator is a climate indicator and is proportional with changes in the indicandum.","Changes in the indicator value can be attributed to changes in the indicandum and it is not likely that other factors than changes in the indicandum cause the changes in the indicator.","The nature of the indicator is such that it demonstrates changes in the ocean climate as they happen. The indicator cannot easily be forecasted since it depends on both advective hydrographic properties and atmospheric condition (air-sea heat fluxes). While the former process has potential for forecast the latter process cannot be predicted at longer time scales than weeks-seasons.","The indicator is reported by IMR to the ICES-WGOH.","The indicator is primarily used for surveillance. ","No, it does not apply to this indicator.","The indicator is known to marine scientists but is probably not many others. ","The meaning of the indicator (fresher/saltier) could also be clear to (some) non-scientists.","n.a.","Climate",FALSE
"RelativeFreshWaterContent","Relative Freshwater content","Climate",NA,"1951-present","2025","Kjell Arne","Kjell Arne","unknown",NA,NA,NA,NA,"yes","The freshwater content representing the freshwater content of the upper layer (covering the Atlantic layer) in the Norwegian Sea.","The freshwater content influences the ocean freshwater distribution and ecosystem structure in the whole region. This is essential for ecosystem status assessment and for understanding climate-driven ecosystem.","The indicator measures the annual average of freshwater content in the upper layer, from the surface to the base of the Atlantic layer, in the Norwegian Sea. Freshwater content changes reflect ocean freshening, freshwater distribution and buoyancy changes (stratification), and impact ecosystems. The indicator is built on decades of observational studies and used regular in many status reports and publications. It is stable and well-quantified through regular cruises as part of the monitoring program at IMR.","There is strong scientific consensus on the importance of freshwater content and is e.g., used when reporting ocean climate changes. It is not one of the GOOS Essential Ocean Variables, but it depends on the sea salinity that is. The indicator is regular updated and used in the ICES Working Group of Oceanic Hydrography (WGOH) Ocean Climate report (IROC) and in IMR’s status reporting of the Norwegian Sea.","The indicator can be measured quantitatively from in-situ measurements.","The current indicator does not contain precision estimates, but the level of precision could be estimated.","The level of bias in the indicator is not estimated but could be estimated.","The indicator can be updated shortly (~days-weeks) after the measurements have been done.","The temporal resolution is once per year (May). The indicator is calculated over depths where density is below a density level in the Norwegian Sea using available CTD-data in May taken with ships and Argo floats. It reflects the freshwater content of the whole Norwegian Sea.","The indicator is primarily an indicator for the ecosystems and ocean climate.","The indicator is produced annually by IMR and requires some expertise for collecting and gridding all the available CTD-data before the indicator can be calculated. The indicator is free to use.","The indicator has been measured 1951 using the same methodology. The measurement types have, however, changed from water bottles the first 2-3 decades to CTD-sensors afterwards.","The indicator requires technical/complex computation as different data sources need to be merged and gridded before the indicator can be calculated. Routines to do this (nearly automatic) have been made.","The indicator is published annual at the ICES-WGOH portal (IROC) where the data can be downloaded. It includes also a description of the indicator.","The data type of the indicator is in-situ measurements (water bottles, CTD-sensor). At the IROC web page, reference and contact person are given. The indicator is also published at IMR-web page (“Climate Status”) with contact person. There is no link to the data source used to provide the indicator, but the data source is also freely available.","The indicator is a climate indicator and is proportional with changes in the indicandum.","Changes in the indicator value can be attributed to changes in the indicandum and it is not likely that other factors than changes in the indicandum cause the changes in the indicator.","The nature of the indicator is such that it demonstrates changes in the ocean climate as they happen. The indicator can be forecasted since it mainly depends on advective hydrographic properties.","The indicator is reported by IMR to the ICES-WGOH.","The indicator is primarily used for surveillance. ","No, it does not apply to this indicator.","The indicator is known to marine scientists but is probably not many others. ","The meaning of the indicator (fresher/saltier) could also be clear to (some) non-scientists.","n.a.","Climate",FALSE
"LanganesTemp","Temperature Langanes East7","Climate","°C","1954-present","2025","Eygló Ólafsdóttir, MFRI","eyglo.olafsdottir@hafogvatn.is","unknown",NA,"Not open access data","MFRI, Iceland",NA,"yes","Average temperature at 80-120m at MFRI Langanes hydrography transect station #7, sampled in May/June. The indicandum is the water mass carried by the East Icelandic Current (EIC) as it enters the Norwegian Sea. This then spreads over the intermediate depth in the Norwegian Sea and affects the conditions over large parts of the Norwegian Sea.","The indicator reflects variations in water mass composition in the East Icelandic Current (EIC) as it enters the Norwegian Sea. This can affect distribution of fish species and lower trophic levels.","The indicator has been used for a long time. It has been linked to the indicandum through the quantification of Arctic waters in the Norwegian Sea.","The indicator has not been much referred to in the scientific literature. The indicator is not in use for other systems. It has not been recommended by international institutions.","The indicator is measured quantitatively.","The indicator has a high precision.","The timing of the measurements varies somewhat between years and this can cause some bias.","The indicator is based on measurements annually in spring (May/June). It has been measured every year since 1974, with the exception of 1982, and sporadically before that with the first measurement in 1954.","This is a point measurement in space and time.","The indicator is integrated between 80 and 120 m depth in order to represent the water mass properties of the Arctic Waters flowing into the Norwegian Sea.","The indicator is evaluated from data gathered by the Marine and Freshwater Research Institute in Iceland on a regular spring cruise operated the last 50 years. The cost of using the indicator is none for WGINOR.","The indicator has been measured every year since 1974, with the exception of 1982, and sporadically before 1974, with the first measurement in 1954. There is an existing time-series for it.","It is very simple to produce the indicator.","It would be very easy to describe the process of obtaining the indicator.","The indicator is based on in situ data. The data can be easily obtained from the Marine and Freshwater Research Institute in Iceland.","The indicator varies but the way it reflects changes in the indicandum has not been studied properly.","Changes in the indicator value be attributed specifically to changes in the indicandum. It is unlikely that the indicator be misinterpreted.","The indicator responds quite quickly (a few months) to changes in the indicandum. The indicator should have some prediction value for the ecosystem condition in the Norwegian Sea but this has not been studied well enough.","The indicator has been reported to WGINOR for many years.","The indicator has primarily been used for surveillance.","n.a.","The indicator is not well known to marine scientists working in other regions, to non-marine scientists, to managers, to stakeholders, nor to the public.","The indicator is easily understandable and easy to communicate its meaning to managers, stakeholders, and public.","This would require more research.","Climate",FALSE
